#,DOB ,Birth City ,S/P ,Ctry ,Nat,HT ,Wt ,C ,Rk ,Draft ,Rnd ,Ovrl ,Age,First Name,Last Name,End Tm,All Tm,GP ,GS ,W,L ,OT ,SA ,Sv ,GAA,SV%,G ,A ,PIM ,MIN,SO ,StGA,StSV,StMIN,QS,RBS,PULL,StSV%,StGAA,QS%,GR,ReGA,ReSV,ReMIN,ReGAA,ReSV%,Cap Hit,Days,Actual,GVT-GP,GGVT,DGVT,SGVT,GVT,GVS,GPS,ESA,ESV,ESSV%,SHSA,SHSV,SHSV%,PPSA,PPSV,PPSV%,SOW,SOL,SSA,SGA,SOSV%,Dist,LowS,LowG,MedS,MedG,HighS,HighG,AdjSV%,QoC,Gsupp,ExpSV%,1st,2nd,3rd,Ginj,Injury,CHIP
72,1988-09-20,Novokuznetsk,,RUS,RUS,74,199,L,,,,,27,Sergei,Bobrovsky,CBJ,CBJ,37,37,15,19,1,1049,952,2.75,.908,0,2,2,126981,1,97,952,2117,18,8,4,.908,2.75,48.6%,0,0,0,0,0.00,.000,7.425,186,7.425,35.3,-1.3,-0.2,0.6,-0.9,-15.5,5.3,847,776,.916,29,26,.897,173,150,.867,1,1,9,2,.778,33.0,458,16,275,27,219,54,0.904,.0853,2.65,-.007,5,4,3,35,Groin,3169
1,1993-03-23,Port Alberni,BC,CAN,CAN,75,202,L,Y,2011,6,164,22,Laurent,Brossoit,EDM,EDM,5,5,0,4,1,142,124,3.61,.873,0,0,0,17971,0,18,124,300,1,2,0,.873,3.60,20.0%,0,0,0,0,0.00,.000,0.925,49,0.244,5,-4.3,0.1,-0.9,-5.2,-5.4,0.1,119,104,.874,4,3,.750,19,17,.895,0,1,2,2,.000,30.5,50,3,38,7,36,8,0.880,.0838,2.40,-.043,1,0,0,,,
31,1982-09-18,Banská Bystrica,,SVK,SVK,73,192,L,,2001,2,63,33,Peter,Budaj,LAK,LAK,1,1,1,0,0,28,24,3.85,.857,0,0,0,3738,0,4,24,62,0,0,0,.857,3.87,0.0%,0,0,0,0,0.00,.000,1.175,6,0.038,1,-1.2,0.0,0.0,-1.2,-1.2,0.0,26,23,.885,1,1,1.000,1,0,.000,,,,,,42.1,10,1,7,2,7,1,0.862,.0935,5.00,-.049,0,0,0,,,
39,1990-04-27,Holliston,MA,USA,USA,74,197,L,Y,,,,25,Mike,Condon,MTL,MTL,55,51,21,25,6,1458,1317,2.71,.903,0,0,0,187364,1,138,1286,3023,26,9,3,.903,2.74,51.0%,4,3,31,100,1.80,.912,0.575,186,0.575,52.1,-7.6,0.8,0.2,-6.6,-6.7,6.6,1204,1096,.910,41,37,.902,213,184,.864,4,3,26,8,.692,36.5,628,14,344,37,345,90,0.904,.0855,2.55,-.011,3,4,3,,,
30,1992-01-18,North Pole,AK,USA,USA,76,196,L,Y,,,,24,Pheonix,Copley,STL,STL,1,0,0,0,0,6,5,2.46,.833,0,0,0,1466,0,,,,,,,.000,0.00,0.0%,1,1,5,24,2.50,.833,0.925,21,0.104,0.4,-0.4,0.1,0.0,-0.3,-0.4,0.0,5,4,.800,0,0,,1,1,1.000,,,,,,78.9,4,0,0,1,1,0,0.718,.0842,,-.082,0,0,0,,,
50,1984-12-31,Montreal,QC,CAN,CAN,74,216,L,,2003,2,52,31,Corey,Crawford,CHI,CHI,58,58,35,18,5,1718,1587,2.37,.924,0,1,2,199359,7,131,1587,3323,40,9,5,.924,2.37,69.0%,0,0,0,0,0.00,.000,6,186,6,55.4,19.1,-0.6,-0.1,18.3,6.7,12.0,1412,1317,.933,21,21,1.000,285,249,.874,1,1,9,3,.667,33.7,766,26,403,31,419,74,0.923,.0851,2.79,.009,6,9,5,10,Upper body,732
40,1981-06-21,Lafontaine,QC,CAN,CAN,71,180,L,,,,,34,Yann,Danis,NJD,NJD,2,0,0,1,0,18,14,4.75,.778,0,0,0,3030,0,,,,,,,.000,0.00,0.0%,2,4,14,51,4.71,.778,0.575,16,0.049,0.9,-2.0,0.1,0.0,-1.9,-1.9,-0.2,15,12,.800,1,1,1.000,2,1,.500,,,,,,23.0,5,1,3,1,6,2,0.786,.0845,,-.138,0,0,0,,,
33,1988-12-22,Newport News,VA,USA,USA,78,232,L,,2007,6,153,27,Scott,Darling,CHI,CHI,29,24,12,8,4,784,717,2.58,.915,0,0,0,93601,1,62,651,1405,13,5,1,.913,2.65,54.2%,5,5,66,155,1.94,.930,0.588,186,0.588,26,2.7,-0.1,-0.2,2.4,2.3,4.6,659,603,.915,16,14,.875,109,100,.917,0,1,2,1,.500,33.4,334,12,195,16,188,38,0.916,.0849,3.04,-.001,2,0,4,,,
35,1992-03-06,St-Hyacinthe,QC,CAN,CAN,75,210,R,Y,2010,5,138,23,Louis,Domingue,ARI,ARI,39,36,15,18,5,1142,1041,2.75,.912,0,1,0,132364,2,96,1009,2120,21,5,3,.913,2.72,58.3%,3,5,32,86,3.49,.865,0.605,122,0.397,36.8,2.9,-0.7,0.0,2.2,2.1,6.3,923,854,.925,41,36,.878,178,151,.848,1,1,9,2,.778,36.1,489,20,302,24,251,57,0.909,.0852,2.56,-.003,4,3,5,,,
32,1994-05-18,Winnipeg,MB,CAN,CAN,76,205,L,Y,2012,3,76,21,Chris,Driedger,OTT,OTT,1,0,0,0,0,11,11,0.00,1.000,0,0,0,1909,0,,,,,,,.000,0.00,0.0%,1,0,11,32,0.00,1.000,0.8,31,0.133,0.5,0.9,0.0,0.0,0.9,0.8,0.2,7,7,1.000,0,0,,4,4,1.000,,,,,,60.6,5,0,3,0,3,0,1.000,.0826,,.083,0,0,0,,,
40,1986-05-04,Regina,SK,CAN,CAN,78,212,L,,2004,1,14,29,Devan,Dubnyk,MIN,MIN,67,66,32,26,6,1829,1679,2.33,.918,0,0,8,231684,5,149,1665,3826,33,5,5,.918,2.34,50.0%,1,1,14,35,1.71,.933,4.333,186,4.333,64.4,10.6,1.0,0.6,12.2,4.2,11.5,1534,1427,.930,41,38,.927,254,214,.843,3,2,17,5,.706,34.0,838,30,419,38,422,82,0.915,.0852,2.67,.003,5,5,3,5,"Illness, Undisclosed, Groin",264
1,1985-04-09,Newmarket,ON,CAN,CAN,74,209,L,,2003,9,291,30,Brian,Elliott,STL,STL,42,38,23,8,6,1113,1035,2.07,.930,0,0,2,135780,4,74,988,2163,26,6,5,.930,2.05,68.4%,4,4,47,100,2.40,.922,2.5,186,2.5,37.7,19.5,-0.2,-0.4,19.0,14.9,8.6,876,818,.934,24,24,1.000,213,193,.906,1,4,20,7,.650,33.4,466,18,278,18,292,42,0.931,.0862,2.71,.016,5,7,5,10,Lower body,305
1,1988-06-25,Stockholm,,SWE,SWE,70,171,L,,2006,2,46,27,Jhonas,Enroth,LAK,LAK,16,13,7,5,1,398,367,2.17,.922,0,0,0,51378,2,29,344,783,8,1,0,.922,2.22,61.5%,3,2,23,73,1.64,.920,1.25,186,1.25,14.3,4.6,0.2,0.0,4.7,3.2,2.7,333,312,.937,8,8,1.000,57,47,.825,,,,,,38.6,174,6,93,8,101,17,0.922,.0848,2.31,.007,1,2,1,,,
29,1984-11-28,Sorel,QC,CAN,CAN,74,180,L,,2003,1,1,31,Marc-Andre,Fleury,PIT,PIT,58,58,35,17,6,1665,1533,2.29,.921,0,1,2,207753,5,132,1533,3464,35,5,1,.921,2.29,60.3%,0,0,0,0,0.00,.000,5.75,186,5.75,57.7,15.7,0.3,1.0,17.0,5.9,11.0,1372,1272,.927,42,40,.952,251,221,.880,3,2,17,4,.765,35.2,698,21,440,35,395,76,0.921,.0859,3.00,.007,6,4,4,14,"Concussion, Illness",982
31,1992-11-27,Härnösand,,SWE,SWE,75,191,L,Y,2011,7,188,23,Anton,Forsberg,CBJ,CBJ,4,3,1,3,0,97,88,3.03,.907,0,0,0,10689,0,9,82,175,1,0,0,.901,3.09,33.3%,1,0,6,3,0.00,1.000,0.7,37,0.139,3,-0.2,-0.1,0.0,-0.3,-0.4,0.5,72,64,.889,3,3,1.000,22,21,.955,1,0,3,1,.667,24.9,35,3,23,2,30,4,0.910,.0842,1.67,-.009,0,0,1,,,
33,1992-12-27,Karkkila,,FIN,FIN,73,188,L,Y,2011,2,49,23,Christopher,Gibson,NYI,NYI,4,2,1,1,1,93,82,3.40,.882,0,0,0,11642,0,7,51,125,0,1,0,.879,3.36,0.0%,2,4,31,69,3.48,.886,0.75,15,0.06,3.2,-2.2,0.0,0.0,-2.2,-2.2,0.2,87,77,.885,1,1,1.000,5,4,.800,,,,,,33.7,35,4,28,3,19,4,0.879,.0846,3.50,-.034,0,0,0,,,
36,1993-07-14,Pittsburgh,PA,USA,USA,75,226,L,Y,2011,2,39,22,John,Gibson,ANA,ANA,40,38,21,13,4,992,913,2.07,.920,0,1,2,137680,4,77,876,2208,22,3,5,.919,2.09,57.9%,2,2,37,87,1.38,.949,0.925,138,0.686,38.3,10.4,1.1,0.1,11.7,11.1,6.5,802,736,.918,12,12,1.000,178,165,.927,2,1,10,3,.700,37.9,462,11,245,19,207,49,0.915,.0845,2.50,.005,6,5,3,,,
1,1986-01-29,Fussen,,DEU,DEU,73,228,L,,2004,3,94,30,Thomas,Greiss,NYI,NYI,41,38,23,11,4,1197,1107,2.36,.925,0,1,2,137248,1,89,1086,2225,23,2,2,.924,2.40,60.5%,3,1,21,62,0.97,.955,1.5,186,1.5,38.1,14.2,-0.7,1.3,14.8,12.8,8.5,999,932,.933,24,21,.875,174,154,.885,2,1,9,1,.889,30.1,462,20,338,21,307,49,0.926,.0838,3.16,.009,4,2,3,,,
31,1991-11-25,Rosenheim,,DEU,DEU,73,182,L,Y,2010,4,112,24,Philipp,Grubauer,WSH,WSH,22,16,8,9,1,523,480,2.32,.918,0,0,2,66662,0,40,421,958,8,2,0,.913,2.51,50.0%,6,3,59,153,1.18,.952,0.75,186,0.75,18.5,3.7,0.2,0.0,3.9,3.5,3.3,423,389,.920,13,11,.846,87,80,.920,,,,,,36.0,216,7,144,16,120,20,0.917,.0856,2.31,.003,1,2,2,,,
50,1992-07-31,Aizkraukle,,LVA,LVA,75,218,L,Y,2013,5,124,23,Kristers,Gudlevskis,TBL,TBL,1,1,0,0,1,32,31,1.00,.969,0,0,0,3597,0,1,31,60,1,0,0,.969,1.00,100.0%,0,0,0,0,0.00,.000,0.608,31,0.101,1,1.6,0.0,0.0,1.6,1.6,0.4,24,23,.958,2,2,1.000,6,6,1.000,,,,,,22.6,17,0,7,0,7,1,0.964,.0875,0.00,.056,0,0,1,,,
50,1984-10-24,Danderyd,,SWE,SWE,76,201,L,,,,,31,Jonas,Gustavsson,BOS,BOS,24,20,11,9,1,622,565,2.72,.908,0,0,0,75508,1,48,511,1131,10,2,2,.914,2.55,50.0%,4,9,54,127,4.25,.857,0.7,186,0.7,21,-0.5,-0.1,1.1,0.5,0.2,3.2,525,480,.914,19,19,1.000,78,66,.846,2,0,5,0,1.000,35.8,268,13,163,10,135,34,0.906,.0849,2.95,-.007,2,1,3,1,Heart,9
41,1985-05-13,Bratislava,,SVK,SVK,71,181,L,,2003,9,271,30,Jaroslav,Halak,NYI,NYI,36,36,18,13,4,984,904,2.30,.919,0,1,0,125471,3,80,904,2093,22,6,3,.919,2.29,61.1%,0,0,0,0,0.00,.000,4.5,186,4.5,34.9,7.1,0.4,-1.5,6.0,-2.4,6.3,851,782,.919,15,14,.933,118,108,.915,3,3,21,9,.571,33.6,393,10,243,21,268,49,0.923,.0866,2.53,.005,6,3,0,28,"Groin, Upper body, Illness",1537
30,1988-02-11,Surrey,BC,CAN,CAN,73,220,L,,,,,27,Andrew,Hammond,OTT,OTT,24,21,7,11,4,712,651,2.65,.914,0,0,2,82939,1,56,609,1260,13,1,0,.916,2.67,61.9%,3,5,42,122,2.46,.894,1.35,186,1.35,23,2.6,-0.3,0.7,3.0,1.3,4.2,597,559,.936,10,9,.900,105,83,.790,0,3,19,5,.737,31.7,311,11,187,21,153,29,0.911,.0841,2.43,-.002,1,1,1,14,"Concussion, Groin",230
45,1991-04-04,Uppsala,,SWE,SWE,77,200,L,Y,2011,2,38,24,Magnus,Hellberg,NYR,NYR,1,0,0,0,0,6,4,6.00,.667,0,0,0,1200,0,,,,,,,.000,0.00,0.0%,1,2,4,20,6.00,.667,0.625,9,0.03,0.3,-1.2,0.0,0.0,-1.2,-1.2,-0.1,5,4,.800,1,0,.000,0,0,,,,,,,38.1,3,0,1,1,0,1,0.573,.0938,,-.240,0,0,0,,,
30,1993-05-19,Commerce,MI,USA,USA,76,207,L,Y,2012,5,130,22,Connor,Hellebuyck,WPG,WPG,26,26,13,11,1,683,627,2.34,.918,0,0,0,86008,2,56,627,1435,14,6,3,.918,2.34,53.8%,0,0,0,0,0.00,.000,0.925,82,0.408,23.9,5.4,0.2,0.2,5.7,5.3,4.3,559,524,.937,9,8,.889,115,95,.826,1,1,7,2,.714,32.1,278,11,185,14,164,31,0.918,.0857,2.65,.004,6,1,1,,,
1,1982-02-12,Felben Wellhausen,,CHE,CHE,74,191,R,,,,,33,Jonas,Hiller,CGY,CGY,26,23,9,11,1,654,575,3.51,.879,0,0,0,81052,1,75,542,1277,7,8,4,.878,3.52,30.4%,3,4,33,74,3.24,.892,4.5,186,4.5,22.5,-17.1,0.2,0.2,-16.8,-25.2,1.1,524,471,.899,20,18,.900,110,86,.782,1,1,7,2,.714,34.3,248,13,154,23,173,43,0.885,.0823,3.04,-.039,2,0,1,,,
70,1989-09-16,Lloydminster,SK,CAN,CAN,74,217,L,,2008,4,93,26,Braden,Holtby,WSH,WSH,66,66,48,9,7,1802,1661,2.20,.922,0,1,6,230471,3,141,1661,3845,44,6,6,.922,2.20,66.7%,0,0,0,0,0.00,.000,6.1,186,6.1,64,18.7,0.8,-0.4,19.1,7.3,12.1,1488,1381,.928,49,46,.939,265,234,.883,4,2,17,6,.647,34.0,816,22,428,37,418,82,0.919,.0846,3.26,.006,10,12,4,,,
35,1984-03-26,Syracuse,NY,USA,USA,73,218,L,,2003,2,64,31,Jimmy,Howard,DET,DET,37,33,14,14,5,979,887,2.80,.906,0,1,2,118433,2,85,833,1844,17,6,5,.907,2.77,51.5%,4,7,54,130,3.23,.885,5.292,186,5.292,32.9,-2.7,-0.1,-0.7,-3.6,-13.7,4.8,813,743,.914,23,22,.957,143,122,.853,0,2,9,4,.556,31.7,420,16,223,19,244,57,0.908,.0860,2.64,-.008,2,4,4,,,
34,1990-03-02,Barrie,ON,CAN,CAN,75,202,R,,2008,3,77,25,Michael,Hutchinson,WPG,WPG,30,25,9,15,3,805,730,2.84,.907,0,0,0,95157,0,70,655,1415,9,3,2,.903,2.97,36.0%,5,5,75,171,1.75,.938,0.575,186,0.575,26.4,-1.5,-0.3,-1.4,-3.2,-3.3,4.0,630,571,.906,18,17,.944,157,142,.904,0,1,3,3,.000,32.5,332,11,217,16,181,48,0.907,.0864,2.36,-.007,2,0,1,,,
30,1985-12-19,Thunder Bay,ON,CAN,CAN,73,201,L,,,,,30,Carter,Hutton,NSH,NSH,17,15,7,5,4,464,426,2.33,.918,0,1,0,58736,2,36,399,913,7,1,0,.917,2.37,46.7%,2,2,27,66,1.82,.931,0.725,186,0.725,16.3,3.2,0.2,-0.3,3.2,2.8,2.9,392,359,.916,16,15,.938,56,52,.929,1,1,5,2,.600,34.1,211,8,113,11,102,19,0.914,.0875,2.47,.006,3,1,1,4,"Lower body, Upper body",35
31,1986-06-10,Saskatoon,SK,CAN,CAN,75,196,L,,2006,5,125,29,Chad,Johnson,BUF,BUF,45,40,22,16,4,1270,1168,2.36,.920,0,2,0,155465,1,99,1107,2418,24,3,0,.918,2.46,60.0%,5,3,61,173,1.04,.953,1.3,186,1.3,43.2,9.5,0.2,-0.1,9.6,8.0,8.2,1046,969,.926,29,27,.931,195,172,.882,2,3,15,5,.667,32.2,578,15,306,25,285,62,0.917,.0853,2.88,.005,5,2,6,1,Undisclosed,16
31,1990-01-10,North Vancouver,BC,CAN,CAN,76,187,L,,,,,26,Martin,Jones,SJS,SJS,65,65,37,23,4,1734,1591,2.27,.918,0,0,0,227152,6,143,1591,3786,39,9,4,.918,2.27,60.0%,0,0,0,0,0.00,.000,3,186,3,63.1,11.1,1.3,-0.3,12.1,6.9,10.8,1421,1315,.925,45,42,.933,268,234,.873,3,1,11,4,.636,33.8,726,27,447,37,418,79,0.918,.0845,2.83,.002,9,4,4,,,
33,1992-05-18,Winnipeg,MB,CAN,CAN,75,172,L,Y,2011,6,157,23,Jason,Kasdorf,BUF,BUF,1,1,0,1,0,30,26,4.00,.867,0,0,0,3600,0,4,26,60,0,0,0,.867,4.00,0.0%,0,0,0,0,0.00,.000,0.668,0,0,1,-1.1,0.0,0.0,-1.1,-1.1,0.0,27,24,.889,0,0,,3,2,.667,,,,,,40.7,17,1,6,2,3,1,0.834,.0850,1.00,-.048,0,0,0,5,Groin,41
30,1986-05-07,Ust-Kamenogorsk,,KAZ,RUS,71,203,L,,2004,7,206,29,Anton,Khudobin,ANA,ANA,9,7,3,3,0,175,159,2.69,.909,0,0,0,21380,1,16,146,324,3,3,2,.901,2.96,42.9%,2,0,13,32,0.00,1.000,4.5,186,1.734,5.9,0.0,0.0,0.0,0.0,-2.5,0.9,137,123,.898,2,2,1.000,36,34,.944,,,,,,32.4,66,1,41,7,52,8,0.914,.0851,2.29,-.006,1,1,0,,,
1,1989-07-04,Farmingville,NY,USA,USA,75,195,L,,,,,26,Keith,Kinkaid,NJD,NJD,23,20,9,9,1,605,547,2.81,.904,0,0,2,74426,2,54,520,1152,10,5,2,.906,2.81,50.0%,3,4,27,88,2.73,.871,0.725,186,0.725,20.7,-2.7,0.0,0.0,-2.7,-3.1,2.8,488,443,.908,12,11,.917,105,93,.886,0,1,3,1,.667,30.1,271,14,150,14,126,30,0.900,.0835,2.55,-.012,3,0,1,,,
70,1994-04-28,Pori,,FIN,FIN,75,182,L,Y,2012,3,62,21,Joonas,Korpisalo,CBJ,CBJ,31,30,16,11,4,969,891,2.60,.920,0,0,2,108183,0,76,879,1778,18,1,3,.920,2.56,60.0%,1,2,12,25,4.80,.857,0.925,108,0.537,30.1,8.2,-0.9,1.2,8.5,8.0,6.3,816,760,.931,23,20,.870,130,111,.854,4,2,21,5,.762,30.8,439,15,212,21,240,42,0.918,.0844,2.87,.004,4,4,2,,,
35,1990-05-05,Saskatoon,SK,CAN,CAN,77,212,L,,2009,6,161,25,Darcy,Kuemper,MIN,MIN,21,16,6,7,5,507,464,2.43,.915,0,0,2,63804,2,37,399,927,9,2,1,.915,2.39,56.3%,5,6,65,136,2.65,.915,1.25,186,1.25,17.7,1.7,0.3,0.0,2.0,0.5,3.0,430,394,.916,15,13,.867,62,57,.919,,,,,,31.7,198,5,133,15,133,23,0.919,.0861,2.50,.001,2,2,3,8,"Upper body, Concussion",122
31,1988-01-05,Norrtälje,,SWE,SWE,76,187,L,,,,,28,Eddie,Lack,CAR,CAR,34,31,12,14,6,910,820,2.81,.901,0,2,0,115206,2,86,795,1837,15,7,1,.902,2.81,48.4%,3,4,25,83,2.89,.862,1.15,186,1.15,32,-7.7,0.5,0.0,-7.3,-8.6,3.9,806,728,.903,21,19,.905,83,73,.880,,,,,,28.7,367,7,224,28,229,55,0.905,.0867,2.32,-.012,3,2,3,,,
40,1991-07-24,Gothenburg,,SWE,SWE,77,240,L,,2009,2,46,24,Robin,Lehner,BUF,BUF,21,21,5,9,5,634,586,2.47,.924,0,1,8,69845,1,48,586,1164,12,3,3,.924,2.47,57.1%,0,0,0,0,0.00,.000,2.225,186,2.225,19.4,6.9,-0.5,-1.4,5.0,1.4,4.5,520,480,.923,14,13,.929,100,93,.930,0,2,6,4,.333,36.8,327,15,136,7,124,26,0.918,.0854,2.05,.010,2,1,3,50,Ankle,1357
32,1983-11-16,Helsinki,,FIN,FIN,76,205,L,,2002,1,2,32,Kari,Lehtonen,DAL,DAL,43,39,25,10,2,1121,1016,2.76,.906,0,3,2,136751,2,98,969,2163,22,5,5,.908,2.72,56.4%,4,7,47,116,3.62,.870,5.9,186,5.9,38,-3.4,0.0,0.0,-3.4,-14.8,5.5,923,841,.911,30,26,.867,168,149,.887,1,0,3,1,.667,33.9,454,17,293,23,269,65,0.908,.0858,3.56,-.008,6,0,5,3,Upper body,216
49,1981-05-19,Petrolia,ON,CAN,CAN,75,186,L,,1999,6,165,34,Michael,Leighton,CHI,CHI,1,0,0,0,0,17,16,1.52,.941,0,0,0,2369,0,,,,,,,.000,0.00,0.0%,1,1,16,39,1.54,.941,0.575,24,0.074,0.7,0.5,0.0,0.0,0.5,0.5,0.2,12,11,.917,0,0,,5,5,1.000,,,,,,31.8,4,1,5,0,7,0,0.914,.0927,,.034,0,0,0,,,
29,1988-05-03,Gävle,,SWE,SWE,78,215,L,,2008,7,207,27,Anders,Lindback,ARI,ARI,19,13,5,7,1,443,396,3.11,.894,0,1,0,54368,0,40,314,710,5,4,2,.887,3.38,38.5%,6,7,82,196,2.14,.921,0.875,186,0.875,15.1,-5.4,0.0,0.0,-5.4,-6.1,1.5,343,311,.907,15,14,.933,85,71,.835,,,,,,31.1,206,15,90,8,100,24,0.892,.0848,3.08,-.021,2,2,0,27,Achilles,288
35,1993-12-18,LAKEVILLE,MN,USA,USA,74,190,R,Y,,,,22,Charlie,Lindgren,MTL,MTL,1,1,1,0,0,28,26,2.00,.929,0,0,0,3600,0,2,26,60,1,0,0,.929,2.00,100.0%,0,0,0,0,0.00,.000,0.925,10,0.05,1,0.5,0.0,0.0,0.5,0.5,0.2,28,26,.929,0,0,,0,0,,,,,,,51.3,12,1,6,1,8,0,0.927,.0773,4.00,.006,0,0,0,,,
30,1982-03-02,Are,,SWE,SWE,73,188,L,,2000,7,205,33,Henrik,Lundqvist,NYR,NYR,65,64,35,21,7,1944,1788,2.48,.920,0,4,4,226342,4,152,1761,3729,41,6,8,.921,2.45,64.1%,1,4,27,43,5.58,.871,8.5,186,8.5,62.9,15.5,-0.8,0.3,15.0,-1.9,12.6,1620,1513,.934,36,33,.917,288,242,.840,3,2,14,4,.714,30.5,870,21,488,40,430,95,0.917,.0851,2.81,.005,14,5,9,3,Neck,311
